Manual Prompt,Prompt,Prompt (lookup),Aspect Ratio,Google Drive Folder ID,Reference Image_1,Image 1 Preview,Reference Image_2,Image 2 Preview,Reference Image_3,Image 3 Preview,Final Prompt,Output Image,Drive File URL,Drive File ID,Image Preview,API JSON
create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can.,Hair Color,Create a version of the hair style using the color hex.  Do not change anything about the image aside from the hair color.,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://drive.google.com/file/d/1v9uXRDKxXLmFVFiAJy7WJ1DiCR0bYBB1/view?usp=sharing,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=600",,,,"Create a version of the hair style using the color hex.  Do not change anything about the image aside from the hair color. Reference image 1:https://drive.google.com/file/d/1v9uXRDKxXLmFVFiAJy7WJ1DiCR0bYBB1/view?usp=sharing Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=600 Reference image 3: aspect ratio:1:1",,https://drive.google.com/file/d/1xx9NEwiveuUjt1aful9tXX9unY1hz1xQ/view?usp=drivesdk,1xx9NEwiveuUjt1aful9tXX9unY1hz1xQ,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 1576797,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""nq54g6Ls"",
  ""imgbbUrl"": ""https://i.ibb.co/rK1q7FwG/gemini-2-5-flash-1756924879716-2.png"",
  ""displayUrl"": ""https://i.ibb.co/fVPZ1qxY/gemini-2-5-flash-1756924879716-2.png"",
  ""deleteUrl"": ""https://ibb.co/nq54g6Ls/3cc8928f1afd147d66f42d091034201c"",
  ""driveFileId"": ""1xx9NEwiveuUjt1aful9tXX9unY1hz1xQ"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1xx9NEwiveuUjt1aful9tXX9unY1hz1xQ/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:41:43.017Z""
}"
create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can.,Hair Color,Create a version of the hair style using the color hex.  Do not change anything about the image aside from the hair color.,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://drive.google.com/file/d/1ez4mY_dq1cXt-S8EB4qvhFuSKYc3Df6g/view?usp=sharing,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=601",,,,"Create a version of the hair style using the color hex.  Do not change anything about the image aside from the hair color. Reference image 1:https://drive.google.com/file/d/1ez4mY_dq1cXt-S8EB4qvhFuSKYc3Df6g/view?usp=sharing Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=601 Reference image 3: aspect ratio:1:1",https://i.ibb.co/0y0yCTHG/gemini-2-5-flash-1756924879726-3.png,https://drive.google.com/file/d/1S6BVut6Cz4UCGRRnO8SNI9-aaDlgfVkV/view?usp=drivesdk,1S6BVut6Cz4UCGRRnO8SNI9-aaDlgfVkV,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2247039,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""r2B2xYDw"",
  ""imgbbUrl"": ""https://i.ibb.co/0y0yCTHG/gemini-2-5-flash-1756924879726-3.png"",
  ""displayUrl"": ""https://i.ibb.co/RTXT3fRD/gemini-2-5-flash-1756924879726-3.png"",
  ""deleteUrl"": ""https://ibb.co/r2B2xYDw/1376fe56a661a8bb10eff0c6c31aa16f"",
  ""driveFileId"": ""1S6BVut6Cz4UCGRRnO8SNI9-aaDlgfVkV"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1S6BVut6Cz4UCGRRnO8SNI9-aaDlgfVkV/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:41:48.264Z""
}"
create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380407,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=602",,,,"create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can. Reference image 1:https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380407 Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=602 Reference image 3: aspect ratio:1:1",https://i.ibb.co/HDTLPWTm/gemini-2-5-flash-1756924879741-4.png,https://drive.google.com/file/d/1fVtMvwYgaTl6-4MI8Bfg-5386vU1oL8g/view?usp=drivesdk,1fVtMvwYgaTl6-4MI8Bfg-5386vU1oL8g,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2427477,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""nsMq1HMh"",
  ""imgbbUrl"": ""https://i.ibb.co/HDTLPWTm/gemini-2-5-flash-1756924879741-4.png"",
  ""displayUrl"": ""https://i.ibb.co/fYdVNhdm/gemini-2-5-flash-1756924879741-4.png"",
  ""deleteUrl"": ""https://ibb.co/nsMq1HMh/cb7c3efd25180a462f86f93591eb90b9"",
  ""driveFileId"": ""1fVtMvwYgaTl6-4MI8Bfg-5386vU1oL8g"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1fVtMvwYgaTl6-4MI8Bfg-5386vU1oL8g/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:41:55.516Z""
}"
create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,,,"create an image of a grungy and emo vibe influencer in her 20s wearing this shirt and holding this can. Reference image 1:https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408 Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3: aspect ratio:1:1",https://i.ibb.co/n8g3j9ts/gemini-2-5-flash-1756924879752-5.png,https://drive.google.com/file/d/1fdwBWvRvzDlxT8pzDKoLwgMI5EH7b09W/view?usp=drivesdk,1fdwBWvRvzDlxT8pzDKoLwgMI5EH7b09W,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2095413,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""dJWbDFx0"",
  ""imgbbUrl"": ""https://i.ibb.co/n8g3j9ts/gemini-2-5-flash-1756924879752-5.png"",
  ""displayUrl"": ""https://i.ibb.co/R4vhcfdp/gemini-2-5-flash-1756924879752-5.png"",
  ""deleteUrl"": ""https://ibb.co/dJWbDFx0/96afafb564d7a4805a0fdbff6e4648a7"",
  ""driveFileId"": ""1fdwBWvRvzDlxT8pzDKoLwgMI5EH7b09W"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1fdwBWvRvzDlxT8pzDKoLwgMI5EH7b09W/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:42:00.684Z""
}"
create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat. Reference image 1:https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408 Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/zh1Rp5ws/gemini-2-5-flash-1756924879760-6.png,https://drive.google.com/file/d/12De5X8trF-j1L2mUFISjwzhr7AmaRsiP/view?usp=drivesdk,12De5X8trF-j1L2mUFISjwzhr7AmaRsiP,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2036169,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""Y76kmWG2"",
  ""imgbbUrl"": ""https://i.ibb.co/zh1Rp5ws/gemini-2-5-flash-1756924879760-6.png"",
  ""displayUrl"": ""https://i.ibb.co/nsTc90Sr/gemini-2-5-flash-1756924879760-6.png"",
  ""deleteUrl"": ""https://ibb.co/Y76kmWG2/5574649fea2c7018e71b8bff7b40fee4"",
  ""driveFileId"": ""12De5X8trF-j1L2mUFISjwzhr7AmaRsiP"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/12De5X8trF-j1L2mUFISjwzhr7AmaRsiP/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:42:05.609Z""
}"
create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat. Reference image 1:https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408 Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/NgQJRYJJ/gemini-2-5-flash-1756924879774-7.png,https://drive.google.com/file/d/1ywXHIcFpQuvyvEHiKNQojnCKCrJ6ryxl/view?usp=drivesdk,1ywXHIcFpQuvyvEHiKNQojnCKCrJ6ryxl,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2235111,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""fVByJ0yy"",
  ""imgbbUrl"": ""https://i.ibb.co/NgQJRYJJ/gemini-2-5-flash-1756924879774-7.png"",
  ""displayUrl"": ""https://i.ibb.co/ZRtF9TFF/gemini-2-5-flash-1756924879774-7.png"",
  ""deleteUrl"": ""https://ibb.co/fVByJ0yy/027fbece02d707d479cfdedff8614aff"",
  ""driveFileId"": ""1ywXHIcFpQuvyvEHiKNQojnCKCrJ6ryxl"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1ywXHIcFpQuvyvEHiKNQojnCKCrJ6ryxl/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:42:10.731Z""
}"
create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing this shirt and holding this can. Also have her wearing the hat. Reference image 1:https://shop.tinybuild.com/cdn/shop/products/all-over-print-mens-crew-neck-t-shirt-white-front-60397d6ddd5a3_1024x1024@2x.jpg?v=1614380408 Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/GQSstc5s/gemini-2-5-flash-1756924879787-8.png,https://drive.google.com/file/d/1BI3ahnmwd5Lg24MiU1tnwedCnd4OWAI1/view?usp=drivesdk,1BI3ahnmwd5Lg24MiU1tnwedCnd4OWAI1,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 1998831,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""HT8NxnHN"",
  ""imgbbUrl"": ""https://i.ibb.co/GQSstc5s/gemini-2-5-flash-1756924879787-8.png"",
  ""displayUrl"": ""https://i.ibb.co/s9Y56yV5/gemini-2-5-flash-1756924879787-8.png"",
  ""deleteUrl"": ""https://ibb.co/HT8NxnHN/df0596781540fe45f5a86a22b0a635a0"",
  ""driveFileId"": ""1BI3ahnmwd5Lg24MiU1tnwedCnd4OWAI1"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1BI3ahnmwd5Lg24MiU1tnwedCnd4OWAI1/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:42:15.631Z""
}"
create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat. Reference image 1:https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/0pLz4Pn3/gemini-2-5-flash-1756924879806-9.png,https://drive.google.com/file/d/1rYmh8o1vor-d7QG3rTDUiv6PFlgOKbzH/view?usp=drivesdk,1rYmh8o1vor-d7QG3rTDUiv6PFlgOKbzH,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2347653,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""CpySCxwF"",
  ""imgbbUrl"": ""https://i.ibb.co/0pLz4Pn3/gemini-2-5-flash-1756924879806-9.png"",
  ""displayUrl"": ""https://i.ibb.co/p6TkVC1p/gemini-2-5-flash-1756924879806-9.png"",
  ""deleteUrl"": ""https://ibb.co/CpySCxwF/da073165a2c774a08e3faae4ed139d6f"",
  ""driveFileId"": ""1rYmh8o1vor-d7QG3rTDUiv6PFlgOKbzH"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1rYmh8o1vor-d7QG3rTDUiv6PFlgOKbzH/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:42:20.708Z""
}"
create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat. Reference image 1:https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/gZ0rXvkj/gemini-2-5-flash-1756924490911-10.png,https://drive.google.com/file/d/1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU/view?usp=drivesdk,1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2307177,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""Swk61QFs"",
  ""imgbbUrl"": ""https://i.ibb.co/gZ0rXvkj/gemini-2-5-flash-1756924490911-10.png"",
  ""displayUrl"": ""https://i.ibb.co/CKjwXJR1/gemini-2-5-flash-1756924490911-10.png"",
  ""deleteUrl"": ""https://ibb.co/Swk61QFs/46470921e0576ddff9b7b219070af7f6"",
  ""driveFileId"": ""1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:35:01.747Z""
}"
create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat.,,,1:1,1PbSZRRDxMyHNkmHozu8KNpwMEajhnhQ0,https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg,,"https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603",,https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit,,"create an image of a influencer in her 20s wearing a banana costume sitting in the car from image 1 and holding this can. Also have her wearing the hat. Reference image 1:https://di-uploads-pod12.dealerinspire.com/beavertoyotaofcumming/uploads/2019/06/2019-Toyota-RAV4-interior-with-upgraded-seats.jpeg Reference Image 2:https://empirewine.imgix.net/item-hqid/64603.webp?auto=format,compress&fit=max&fill-color=FFFFFF&pad=20&h=600&w=603 Reference image 3:https://drive.google.com/file/d/1QUHTngrSdf3ISubpcPcByFgh0PlvRRoQ/edit aspect ratio:1:1",https://i.ibb.co/gZ0rXvkj/gemini-2-5-flash-1756924490911-10.png,https://drive.google.com/file/d/1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU/view?usp=drivesdk,1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU,,"{
  ""model"": ""gemini-2.5-flash-image-preview"",
  ""success"": true,
  ""attempts"": 1,
  ""imageSize"": 2307177,
  ""storage"": ""ImgBB"",
  ""imgbbId"": ""Swk61QFs"",
  ""imgbbUrl"": ""https://i.ibb.co/gZ0rXvkj/gemini-2-5-flash-1756924490911-10.png"",
  ""displayUrl"": ""https://i.ibb.co/CKjwXJR1/gemini-2-5-flash-1756924490911-10.png"",
  ""deleteUrl"": ""https://ibb.co/Swk61QFs/46470921e0576ddff9b7b219070af7f6"",
  ""driveFileId"": ""1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU"",
  ""driveFileUrl"": ""https://drive.google.com/file/d/1rYLXa5HI8p4VvRfRhuLzgSaVMxQp-HRU/view?usp=drivesdk"",
  ""timestamp"": ""2025-09-03T18:35:01.747Z""
}"
