"tool","seed_keyword","all_keywords","total_volume","average_kd_percent","database","currency","source"
"Keyword Magic Tool","personalized childrens book","8","1,900","23%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","custom childrens book","4","2,110","41%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized kids book","34","14,070","36%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized storybook","5","690","43%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized birthday book","17","1,930","7%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","book with child's name","1","70","27%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","children's book about courage","1","590","12%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 3 year old","23","4,640","23%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","birthday gift for 4 year old","17","2,290","21%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized unicorn book","1","40","0%","","USD","user inline paste 2026-06-29"
"Keyword Magic Tool","personalized dinosaur book","2","300","1%","","USD","user inline paste 2026-06-29"
