field,value
tool,Semrush Position Tracking
target,"United States (Google) • English • Desktop"
domain,littleherolabs.com
date_window,"Jun 30, 2026 - Jul 2, 2026"
updated,"15 hours before paste"
keywords_count,23
competitors_count,6
visibility,0%
visibility_diff,0.00
visibility_potential,+0.56%
estimated_traffic,0
estimated_traffic_diff,0.00
estimated_traffic_potential,+0.66
average_position,100.00
average_position_diff,0
average_position_potential,"up 19.35"
top_3_keywords,0
top_10_keywords,0
top_20_keywords,0
top_100_keywords,0
improved_keywords,0
declined_keywords,0
summary_note,"Traffic performance stable; tracked keywords have high growth potential."
competitor_alert_1,"wonderbly.com has 3 new keywords in the top 3 and 1 keyword lost."
competitor_alert_2,"iseeme.com visibility decreased by 11.01%."
competitor_alert_3,"magicalchildrensbook.com identified as potential competitor; visibility grew by 8.74%."
