"keyword","intent","sf","kd_percent","your_potential_traffic","your_potential_growth","position_jun_30","position_diff","visibility","visibility_diff","estimated_traffic","estimated_traffic_diff","volume","cpc","url","source"
"birthday gift for 3 year old","C","4","17","0.01","+0.01","—","—","0","0","0","0","110","0","—","user inline paste 2026-06-30"
"birthday gift for 4 year old","I;C","4","34","0","0","—","—","0","0","0","0","20","0","—","user inline paste 2026-06-30"
"book with childs name","C","3","28","0","0","—","—","0","0","0","0","40","1.41","—","user inline paste 2026-06-30"
"childrens book about courage","C","5","21","0","0","—","—","0","0","0","0","30","0.88","—","user inline paste 2026-06-30"
"confidence book for kids","I;C","5","16","0","0","—","—","0","0","0","0","0","0","—","user inline paste 2026-06-30"
"custom childrens book","C","3","62","0.05","+0.05","—","—","0","0","0","0","720","1.86","—","user inline paste 2026-06-30"
"grandparent gift personalized book","C","4","11","0","0","—","—","0","0","0","0","0","0","—","user inline paste 2026-06-30"
"personalized birthday book","C","4","22","0.04","+0.04","—","—","0","0","0","0","590","1.56","—","user inline paste 2026-06-30"
"personalized childrens book","C","3","62","0.04","+0.04","—","—","0","0","0","0","590","1.81","—","user inline paste 2026-06-30"
"personalized dinosaur book","C","3","3","0.02","+0.02","—","—","0","0","0","0","260","1.22","—","user inline paste 2026-06-30"
"personalized kids book","C","3","43","0.04","+0.04","—","—","0","0","0","0","590","0","—","user inline paste 2026-06-30"
"personalized storybook","C","3","57","0","0","—","—","0","0","0","0","70","0","—","user inline paste 2026-06-30"
"personalized unicorn book","C","3","1","0","0","—","—","0","0","0","0","40","1.18","—","user inline paste 2026-06-30"
"self esteem book for kids","C","4","8","0","0","—","—","0","0","0","0","0","0","—","user inline paste 2026-06-30"
